Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Centroscymnus cryptacanthus	cryptacanthus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Centroscymnus	Centroscymnus cryptacanthus
Deania calcea	calcea	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Deania calcea
Etmopterus schultzii	schultzii	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus schultzii
Leucoraja lentignosa	lentignosa	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Leucoraja	Leucoraja lentignosa
Alopias vulpinus	vulpinus	Animalia	Chordata	Elasmobranchii	Lamniformes	Alopiidae	Alopias	Alopias vulpinus
Carcharhinus altimus	altimus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus altimus
Carcharodon								
Carcharodon auriculatus	auriculatus	Animalia	Chordata	Elasmobranchii	Lamniformes	Lamnidae	Carcharodon	Carcharodon auriculatus
Galeocerdo triqueter	triqueter	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Galeocerdo	Galeocerdo triqueter
Hemipristis wyattdurhami	wyattdurhami	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Hemigaleidae	Hemipristis	Hemipristis wyattdurhami
Negaprion								
Odontaspis macrota	macrota	Animalia	Chordata	Elasmobranchii	Lamniformes	Odontaspididae	Odontaspis	Odontaspis macrota
Sphyrna								
Pristis aquitanicus	aquitanicus	Animalia	Chordata	Elasmobranchii	Pristiformes	Pristidae	Pristis	Pristis aquitanicus
Abdounia enniskilleni	enniskilleni	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Abdounia	Abdounia enniskilleni
Abdounia recticona	recticona	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Abdounia	Abdounia recticona
Galeocerdo latidens	latidens	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Galeocerdo	Galeocerdo latidens
Negaprion gibbesi	gibbesi	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Negaprion	Negaprion gibbesi
Odontaspis								
Striatolamia macrota	macrota	Animalia	Chordata	Elasmobranchii	Lamniformes	Odontaspididae	Striatolamia	Striatolamia macrota
Carcharias								
Eridacnis barbouri	barbouri	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Proscylliidae	Eridacnis	Eridacnis barbouri
Narcine								
Gurgesiella atlantica	atlantica	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Gurgesiella	Gurgesiella atlantica
Amphotistius sabina	sabina	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Amphotistius	Amphotistius sabina
Gymnura								
Carcharocles aruiculatus	aruiculatus	Animalia	Chordata	Elasmobranchii	Lamniformes	Lamnidae	Carcharocles	Carcharocles aruiculatus
Bembrops anatirostris	anatirostris	Animalia	Chordata	Actinopterygii	Perciformes	Percophidae	Bembrops	Bembrops anatirostris
Physiculus fulvus	fulvus	Animalia	Chordata	Actinopterygii	Gadiformes	Moridae	Physiculus	Physiculus fulvus
Prionotus paralatus	paralatus	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Prionotus	Prionotus paralatus
Serranus atrobranchus	atrobranchus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Serranus	Serranus atrobranchus
Trichopsetta ventralis	ventralis	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Trichopsetta	Trichopsetta ventralis
Trachurus lathami	lathami	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Trachurus	Trachurus lathami
Aldrovandia affinis	affinis	Animalia	Chordata	Actinopterygii	Notacanthiformes	Halosauridae	Aldrovandia	Aldrovandia affinis
Aldrovandia gracilis	gracilis	Animalia	Chordata	Actinopterygii	Notacanthiformes	Halosauridae	Aldrovandia	Aldrovandia gracilis
Chauliodus sloani	sloani	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Chauliodus	Chauliodus sloani
Notacanthus chemnitzii	chemnitzii	Animalia	Chordata	Actinopterygii	Notacanthiformes	Notacanthidae	Notacanthus	Notacanthus chemnitzii
Stephanoberyx monae	monae	Animalia	Chordata	Actinopterygii	Stephanoberyciformes	Stephanoberycidae	Stephanoberyx	Stephanoberyx monae
Remora remora	remora	Animalia	Chordata	Actinopterygii	Perciformes	Echeneidae	Remora	Remora remora
Nezumia bubonis	bubonis	Animalia	Chordata	Actinopterygii	Gadiformes	Macrouridae	Kuronezumia	Kuronezumia bubonis
Balistes capriscus	capriscus	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Balistidae	Balistes	Balistes capriscus
Ariosoma								
Centropyge								
Chiasmodon								
