Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Linckia guildingii	guildingii	Animalia	Echinodermata	Asteroidea	Valvatida	Ophidiasteridae	Linckia	Linckia guildingii
Bathypectinura heros	heros	Animalia	Echinodermata	Ophiuroidea	Ophiurida	Ophiodermatidae	Bathypectinura	Bathypectinura heros
Phormosoma placenta	placenta	Animalia	Echinodermata	Echinoidea	Echinothurioida	Echinothuriidae	Phormosoma	Phormosoma placenta
Plesiodiadema antillarum	antillarum	Animalia	Echinodermata	Echinoidea	Diadematoida	Aspidodiadematidae	Plesiodiadema	Plesiodiadema antillarum
Echinometra lucunter	lucunter	Animalia	Echinodermata	Echinoidea	Echinoida	Echinometridae	Echinometra	Echinometra lucunter
Brissopsis alta	alta	Animalia	Echinodermata	Echinoidea	Spatangoida	Brissidae	Brissopsis	Brissopsis alta
Brissopsis atlantica	atlantica	Animalia	Echinodermata	Echinoidea	Spatangoida	Brissidae	Brissopsis	Brissopsis atlantica
Molpadia musculus	musculus	Animalia	Echinodermata	Holothuroidea	Molpadiida	Molpadiidae	Molpadia	Molpadia musculus
Molpadia barbouri	barbouri	Animalia	Echinodermata	Holothuroidea	Molpadiida	Molpadiidae	Molpadia	Molpadia barbouri
Zoroaster fulgens	fulgens	Animalia	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Zoroaster	Zoroaster fulgens
Notomastus lineatus	lineatus	Animalia	Annelida	Polychaeta	Scolecida	Capitellidae	Notomastus	Notomastus lineatus
Scolelepis texana	texana	Animalia	Annelida	Polychaeta	Canalipalpata	Spionidae	Scolelepis	Scolelepis texana
Levinsenia gracilis	gracilis	Animalia	Annelida	Polychaeta	Orbiniida	Paraonidae	Levinsenia	Levinsenia gracilis
Illex coindetii	coindetii	Animalia	Mollusca	Cephalopoda	Teuthida	Ommastrephidae	Illex	Illex coindetii
